dep,nom_dep,code_circo,numero,prenom,nom,sexe,code_nuance,nuance,sortante
002,Aisne,002-03,6,Jean-Louis,BRICOUT,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,true
002,Aisne,002-04,1,José,BEAURAIN,homme,RN,Rassemblement National,false
002,Aisne,002-04,2,Aurélien,GALL,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
002,Aisne,002-04,3,David,BOBIN,homme,LR,Les Républicains,false
002,Aisne,002-04,4,Vanessa,VICENTE,femme,REC,Reconquête !,false
002,Aisne,002-04,5,Flora,BOUILLAGUET,femme,DXG,Divers extrême gauche,false
002,Aisne,002-04,6,Marc,DELATTE,homme,ENS,Ensemble ! (Majorité présidentielle),true
002,Aisne,002-04,7,Damien,CRÉON,homme,DSV,Droite souverainiste,false
002,Aisne,002-05,1,Francis,GARCIA,homme,DXG,Divers extrême gauche,false
002,Aisne,002-05,2,Sébastien,EUGÈNE,homme,DVC,Divers centre,false
002,Aisne,002-05,3,Jeanne,ROUSSEL,femme,ENS,Ensemble ! (Majorité présidentielle),false
002,Aisne,002-05,4,Jocelyn,DESSIGNY,homme,RN,Rassemblement National,false
002,Aisne,002-05,5,Florence,TRIBOULET,femme,REC,Reconquête !,false
002,Aisne,002-05,6,Françoise,VACCA,femme,ECO,Ecologistes,false
002,Aisne,002-05,7,Stéphane,FRERE,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
002,Aisne,002-05,8,Joffrey,BOLLÉE,homme,DSV,Droite souverainiste,false
002,Aisne,002-05,9,Jade,GILQUIN,femme,LR,Les Républicains,false
003,Allier,003-01,1,Marion,SENNEPIN,femme,ECO,Ecologistes,false
003,Allier,003-01,2,Marie,CIBERT,femme,RN,Rassemblement National,false
003,Allier,003-01,3,Michel,BARBARIN,homme,ENS,Ensemble ! (Majorité présidentielle),false
003,Allier,003-01,4,Jean,MALLOT,homme,DVG,Divers gauche,false
003,Allier,003-01,5,Jean-Marc,COLLOT,homme,DXG,Divers extrême gauche,false
003,Allier,003-01,6,Pierre,DE NICOLAY,homme,REC,Reconquête !,false
003,Allier,003-01,7,Fabien,MALAVAUD,homme,DVD,Divers droite,false
003,Allier,003-01,8,Roger,LITAUDON,homme,LR,Les Républicains,false
003,Allier,003-01,9,Yannick,MONNET,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
003,Allier,003-02,1,Samir,TRIKI,homme,DVC,Divers centre,false
003,Allier,003-02,2,Jean-Jacques,KEGELART,homme,LR,Les Républicains,false
003,Allier,003-02,3,Christophe,AFFRAIX,homme,DSV,Droite souverainiste,false
003,Allier,003-02,4,Axelle,DE NICOLAY,femme,REC,Reconquête !,false
003,Allier,003-02,5,Jean-Marie,GUILLAUMIN,homme,ECO,Ecologistes,false
003,Allier,003-02,6,Bernard,LEBEL,homme,DXG,Divers extrême gauche,false
003,Allier,003-02,7,Philippe,CHATEL,homme,REG,Régionaliste,false
003,Allier,003-02,8,Marie-Claude,LÉGUILLON,femme,RDG,Parti radical de gauche,false
003,Allier,003-02,9,Jorys,BOVET,homme,RN,Rassemblement National,false
003,Allier,003-02,10,Luc,THOMAS,homme,REG,Régionaliste,false
003,Allier,003-02,11,Laurence,VANCEUNEBROCK,femme,ENS,Ensemble ! (Majorité présidentielle),true
003,Allier,003-02,12,Bernard,POZZOLI,homme,DVG,Divers gauche,false
003,Allier,003-02,13,Louise,HERITIER,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
003,Allier,003-03,1,Jean-Francois,RAMEAU,homme,DXG,Divers extrême gauche,false
003,Allier,003-03,2,Paul,DUCHÉ,homme,ECO,Ecologistes,false
003,Allier,003-03,3,Nicolas,RAY,homme,LR,Les Républicains,false
003,Allier,003-03,4,Yves-Marie,PENDELIAU,homme,DIV,Divers,false
003,Allier,003-03,5,Isabelle,RÉCHARD,femme,RDG,Parti radical de gauche,false
003,Allier,003-03,6,Bénédicte,PEYROL,femme,ENS,Ensemble ! (Majorité présidentielle),true
003,Allier,003-03,7,Elsa,DENFERD,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
003,Allier,003-03,8,Quentin,JULIEN,homme,RN,Rassemblement National,false
003,Allier,003-03,9,Sophie,LACOUR,femme,REC,Reconquête !,false
003,Allier,003-03,10,Lydie,CORBIN,femme,DSV,Droite souverainiste,false
004,Alpes-de-Haute-Provence,004-01,1,Laurine,MIFFRED,femme,REC,Reconquête !,false
004,Alpes-de-Haute-Provence,004-01,2,Sylvie,LYONS,femme,SOC,Parti socialiste,false
004,Alpes-de-Haute-Provence,004-01,3,Dominique,BLANC,femme,DVD,Divers droite,false
004,Alpes-de-Haute-Provence,004-01,4,Nicole,VAN HEESBEKE,femme,ECO,Ecologistes,false
004,Alpes-de-Haute-Provence,004-01,5,Annabel,ROS,femme,DXG,Divers extrême gauche,false
004,Alpes-de-Haute-Provence,004-01,6,Bruno,POTIE,homme,DIV,Divers,false
004,Alpes-de-Haute-Provence,004-01,7,Paul,AUDAN,homme,ENS,Ensemble ! (Majorité présidentielle),false
004,Alpes-de-Haute-Provence,004-01,8,Pascal,RECOTILLET,homme,REG,Régionaliste,false
004,Alpes-de-Haute-Provence,004-01,9,Patricia,ROLLAND,femme,ECO,Ecologistes,false
004,Alpes-de-Haute-Provence,004-01,10,Delphine,BAGARRY,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,true
004,Alpes-de-Haute-Provence,004-01,11,Christian,GIRARD,homme,RN,Rassemblement National,false
004,Alpes-de-Haute-Provence,004-01,12,Romaric,GIACOMINO,homme,DSV,Droite souverainiste,false
004,Alpes-de-Haute-Provence,004-02,1,Hervé,GUERRERA,homme,REG,Régionaliste,false
004,Alpes-de-Haute-Provence,004-02,2,Marie,FERREIRA,femme,UDI,Union des Démocrates et des Indépendants,false
004,Alpes-de-Haute-Provence,004-02,3,Clémence,RAZEAU,femme,ECO,Ecologistes,false
004,Alpes-de-Haute-Provence,004-02,4,Myriam,CADENEL,femme,REC,Reconquête !,false
004,Alpes-de-Haute-Provence,004-02,5,Nathalie,HUE-COURTIN,femme,ECO,Ecologistes,false
004,Alpes-de-Haute-Provence,004-02,6,Frédéric,KECHRA,homme,DXG,Divers extrême gauche,false
004,Alpes-de-Haute-Provence,004-02,7,Danièle,DAUX,femme,DSV,Droite souverainiste,false
004,Alpes-de-Haute-Provence,004-02,8,Aurélie,ABEILLE,femme,RN,Rassemblement National,false
004,Alpes-de-Haute-Provence,004-02,9,Laurent,VICENTE,homme,DXG,Divers extrême gauche,false
004,Alpes-de-Haute-Provence,004-02,10,Jean-Luc,SOLER,homme,DXG,Divers extrême gauche,false
004,Alpes-de-Haute-Provence,004-02,11,Christophe,CASTANER,homme,ENS,Ensemble ! (Majorité présidentielle),true
004,Alpes-de-Haute-Provence,004-02,12,Léo,WALTER,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
004,Alpes-de-Haute-Provence,004-02,13,Thierry,BEGNIS,homme,ECO,Ecologistes,false
005,Hautes-Alpes,005-01,1,Christine,GAMERRE,femme,ECO,Ecologistes,false
005,Hautes-Alpes,005-01,2,Michel,PHILIPPO,homme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
005,Hautes-Alpes,005-01,3,Pascale,BOYER,femme,ENS,Ensemble ! (Majorité présidentielle),true
005,Hautes-Alpes,005-01,4,Fabienne,PRATALI,femme,ECO,Ecologistes,false
005,Hautes-Alpes,005-01,5,Camille,HERBAUT,femme,DSV,Droite souverainiste,false
005,Hautes-Alpes,005-01,6,Patricia,HOURS,femme,REC,Reconquête !,false
005,Hautes-Alpes,005-01,7,Roland,SCARAMOZZINO,homme,ECO,Ecologistes,false
005,Hautes-Alpes,005-01,8,Lise,RECOTILLET,femme,REG,Régionaliste,false
005,Hautes-Alpes,005-01,9,Eric,SARLIN,homme,RN,Rassemblement National,false
005,Hautes-Alpes,005-01,10,Kevin,PARA,homme,LR,Les Républicains,false
005,Hautes-Alpes,005-01,11,Véronique,BUISSON,femme,DXG,Divers extrême gauche,false
005,Hautes-Alpes,005-02,1,Joel,GIRAUD,homme,ENS,Ensemble ! (Majorité présidentielle),false
005,Hautes-Alpes,005-02,2,Sandrine,BESSONNIER,femme,DSV,Droite souverainiste,false
005,Hautes-Alpes,005-02,3,Rémi,ROUX,homme,DVG,Divers gauche,false
005,Hautes-Alpes,005-02,4,Margot,PELISSIER,femme,REC,Reconquête !,false
005,Hautes-Alpes,005-02,5,Carole,CHAUVET,femme,LR,Les Républicains,false
005,Hautes-Alpes,005-02,6,Yann,PASSEREAU,homme,ECO,Ecologistes,false
005,Hautes-Alpes,005-02,7,Boris,GUIGNARD,homme,DXG,Divers extrême gauche,false
005,Hautes-Alpes,005-02,8,Louis,ALBRAND,homme,RN,Rassemblement National,false
005,Hautes-Alpes,005-02,9,Capucine,MOUNAL,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-01,1,Florent,IMBERT,homme,DXG,Divers extrême gauche,false
006,Alpes-Maritimes,006-01,2,Eric,CIOTTI,homme,LR,Les Républicains,true
006,Alpes-Maritimes,006-01,3,Nathalie,DLOUSSKY,femme,DIV,Divers,false
006,Alpes-Maritimes,006-01,4,Muriel,VITETTI,femme,RN,Rassemblement National,false
006,Alpes-Maritimes,006-01,5,Loïc,LALANDE,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-01,6,Kenza,ATHANASOPOULOS,femme,DVG,Divers gauche,false
006,Alpes-Maritimes,006-01,7,Sylvie,ZAKRZEWSKI,femme,DSV,Droite souverainiste,false
006,Alpes-Maritimes,006-01,8,Graig,MONETTI,homme,ENS,Ensemble ! (Majorité présidentielle),false
006,Alpes-Maritimes,006-01,9,Chantal,BEAUDET,femme,DIV,Divers,false
006,Alpes-Maritimes,006-01,10,Christian,RAZEAU,homme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-01,11,Anne-Laure,CHAINTRON,femme,NUPES,Nouvelle Union Populaire Écologique et Sociale,false
006,Alpes-Maritimes,006-01,12,Lalla-Chama Gabrielle,BEN MOULAY,femme,ECO,Ecologistes,false
006,Alpes-Maritimes,006-02,1,Philippe,MORLOT,homme,DSV,Droite souverainiste,false
