id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance
233,006-06,9,PIACENTINI,Pierre,M.,ECO,Ecologistes
234,006-06,10,JULIEN,Guillaume,M.,ECO,Ecologistes
235,006-06,11,CIESLIK,Denis,M.,REC,Reconquête !
236,006-07,1,VALLADE,Marie-José,Mme,ECO,Ecologistes
237,006-07,2,DELCASSE,Arnaud,M.,DVG,Divers gauche
238,006-07,3,PAUGET,Eric,M.,LR,Les Républicains
239,006-07,4,MEYER-ABBATUCCI,Arthur,M.,FI,La France Insoumise
240,006-07,5,BELGUECHI,Yassin-Faïsal,M.,DIV,Divers
241,006-07,6,MELE,Eric,M.,ENS,Ensemble ! (Majorité présidentielle)
242,006-07,7,MARIUS,Audrey,Mme,REC,Reconquête !
243,006-07,8,HVIDSTEN,Axel,M.,ECO,Ecologistes
244,006-07,9,FEBVAY,Laurie,Mme,DSV,Droite souverainiste
245,006-07,10,PARGAUD,Megane,Mme,ECO,Ecologistes
246,006-07,11,CORNEC,Tanguy,M.,RN,Rassemblement National
247,006-07,12,HUMBERT,Bérengère,Mme,DVD,Divers droite
248,006-07,13,MARECHAL,Stanislas,M.,DIV,Divers
249,006-07,14,PETARD,Christian,M.,DXG,Divers extrême gauche
250,006-08,1,MARTINS,Adelia,Mme,DSV,Droite souverainiste
251,006-08,2,DESENS,Jean-Valéry,M.,ENS,Ensemble ! (Majorité présidentielle)
252,006-08,3,DUBOIS,Damien,M.,DXG,Divers extrême gauche
253,006-08,4,FONTANESI,Chantal,Mme,ECO,Ecologistes
254,006-08,5,GROSJEAN,Adrien,M.,REC,Reconquête !
255,006-08,6,BIBIANO,Marie,Mme,ECO,Ecologistes
256,006-08,7,CLAUDEL,Bernard,M.,DIV,Divers
257,006-08,8,HAMONET,Chantal,Mme,ECO,Ecologistes
258,006-08,9,PEREIRA,Marie-José,Mme,DXG,Divers extrême gauche
259,006-08,10,MARTIN,Alexandra,Mme,LR,Les Républicains
260,006-08,11,SOUDANT,Lucia,Mme,FI,La France Insoumise
261,006-08,12,LANDERER,Dorette,Mme,RN,Rassemblement National
262,006-09,1,PAUCHET,David,M.,DSV,Droite souverainiste
263,006-09,2,TABAROT,Michèle,Mme,LR,Les Républicains
264,006-09,3,NGUYEN,Xuan Truong,M.,REC,Reconquête !
265,006-09,4,CAMERANO,Jean-Paul,M.,DVC,Divers centre
266,006-09,5,BOULAY,Nicolas,M.,DIV,Divers
267,006-09,6,CHASSERIAUD,Chantal,Mme,SOC,Parti socialiste
268,006-09,7,BARROERO,Evelyne,Mme,ECO,Ecologistes
269,006-09,8,TUDIESCHE,Mayaa,Mme,ENS,Ensemble ! (Majorité présidentielle)
270,006-09,9,PÉCOUT,Liliane,Mme,DXG,Divers extrême gauche
271,006-09,10,MATUSZEWSKI,Christian,M.,ECO,Ecologistes
272,006-09,11,GALBERT,Franck,M.,RN,Rassemblement National
273,007-01,1,GINEYS,Severine,Mme,ENS,Ensemble ! (Majorité présidentielle)
274,007-01,2,FLACH,Marie Élisabeth,Mme,REC,Reconquête !
275,007-01,3,LE LOHER,Erick,M.,DSV,Droite souverainiste
276,007-01,4,SAULIGNAC,Hervé,M.,SOC,Parti socialiste
277,007-01,5,TZAPRENKO,Boris,M.,ECO,Ecologistes
278,007-01,6,VANDER DONCKT,Muriel,Mme,DXG,Divers extrême gauche
279,007-01,7,VALLA,Michel,M.,DVD,Divers droite
280,007-01,8,PORQUET,Céline,Mme,RN,Rassemblement National
281,007-01,9,CHAMBONNET,Pascal,M.,DXG,Divers extrême gauche
282,007-01,10,MADEIRA,Clara,Mme,REG,Régionaliste
283,007-02,1,GUILMIN,Claire,Mme,DSV,Droite souverainiste
284,007-02,2,GAILLARD,Michèle,Mme,DXG,Divers extrême gauche
285,007-02,3,GRANGIER,Cyrille,M.,RN,Rassemblement National
286,007-02,4,GLADIEUX,Sébastien,M.,DVD,Divers droite
287,007-02,5,QUENETTE,Marc-Antoine,M.,LR,Les Républicains
288,007-02,6,CHAIZE,Martin,M.,REG,Régionaliste
289,007-02,7,GOULOUZELLE,Christophe,M.,FI,La France Insoumise
290,007-02,8,BORY,Philippe,M.,REC,Reconquête !
291,007-02,9,DUSSOPT,Olivier,M.,ENS,Ensemble ! (Majorité présidentielle)
292,007-03,1,CAUQUIL,Alexandra,Mme,ENS,Ensemble ! (Majorité présidentielle)
293,007-03,2,PALLOT,Florence,Mme,FI,La France Insoumise
294,007-03,3,ALIROL,Anne,Mme,REG,Régionaliste
295,007-03,4,BRUN,Fabrice,M.,LR,Les Républicains
296,007-03,5,TEILLET,Audrey,Mme,ECO,Ecologistes
297,007-03,6,SILVA,Gonzague,M.,DSV,Droite souverainiste
298,007-03,7,VERHEIJ,Johan,M.,RN,Rassemblement National
299,007-03,8,MARCHISIO,Christophe,M.,DXG,Divers extrême gauche
300,007-03,9,GANDON,Gérald,M.,REC,Reconquête !
301,007-03,10,UGHETTO,Laurent,M.,DVG,Divers gauche
302,008-01,1,RICHARD,Laurent,M.,RN,Rassemblement National
303,008-01,2,DURUISSEAU,Julien,M.,ECO,Ecologistes
304,008-01,3,RENNESSON,Arnaud,M.,ECO,Ecologistes
305,008-01,4,VUIBERT,Lionel,M.,ENS,Ensemble ! (Majorité présidentielle)
306,008-01,5,KALMES,Patrick,M.,DSV,Droite souverainiste
307,008-01,6,OCTAVE,Nadia,Mme,DXG,Divers extrême gauche
308,008-01,7,MARECHAL,Guillaume,M.,LR,Les Républicains
309,008-01,8,DE CAUSANS,Juliette,Mme,DVC,Divers centre
310,008-01,9,LAURENT,Sébastien,M.,REC,Reconquête !
311,008-02,1,JACQUEMART,Nadège,Mme,REC,Reconquête !
312,008-02,2,BEDDELEM,Polina,Mme,ENS,Ensemble ! (Majorité présidentielle)
313,008-02,3,LOYEZ,Gilles,M.,FI,La France Insoumise
314,008-02,4,GALLET,Christelle,Mme,ECO,Ecologistes
315,008-02,5,TAKAWÉ,Mink,Mme,DXG,Divers extrême gauche
316,008-02,6,BENYOUCEF,Patrick,M.,DXG,Divers extrême gauche
317,008-02,7,BELLAY,Christelle,Mme,DSV,Droite souverainiste
318,008-02,8,PHILIPPO,Baptiste,M.,RN,Rassemblement National
319,008-02,9,CORDIER,Pierre,M.,LR,Les Républicains
320,008-03,1,NORTH,Bruno,M.,REC,Reconquête !
321,008-03,2,BATISSE,Stella,Mme,DSV,Droite souverainiste
322,008-03,3,DRION,Estelle,Mme,ENS,Ensemble ! (Majorité présidentielle)
323,008-03,4,WARSMANN,Jean-Luc,M.,DVD,Divers droite
324,008-03,5,PERRIN,Sophie,Mme,FI,La France Insoumise
325,008-03,6,AUGIER,Laure,Mme,DXG,Divers extrême gauche
326,008-03,7,PELTRIAUX,Monique,Mme,ECO,Ecologistes
327,008-03,8,LEMOINE,David,M.,RN,Rassemblement National
328,009-01,1,GARNIER,Jean-Marc,M.,RN,Rassemblement National
329,009-01,2,TAURINE,Bénédicte,Mme,FI,La France Insoumise
330,009-01,3,JOSSINET,François-Xavier,M.,REC,Reconquête !
331,009-01,4,FABART,Renaud,M.,ECO,Ecologistes
332,009-01,5,LOMRÉ,Yannick,M.,DSV,Droite souverainiste
333,009-01,6,COULY,Claire,Mme,DVG,Divers gauche
334,009-01,7,TRIBOUT,Anne-Sophie,Mme,ENS,Ensemble ! (Majorité présidentielle)
335,009-01,8,LAPEYRE,Gisèle,Mme,DXG,Divers extrême gauche
336,009-01,9,FROGER,Martine,Mme,SOC,Parti socialiste
337,009-01,10,SALVAT,Jean-Pierre,M.,REG,Régionaliste
338,009-02,1,CARRIE,Bérengère,Mme,RN,Rassemblement National
339,009-02,2,CHAROY,Quentin,M.,ECO,Ecologistes
340,009-02,3,TARRIEUX-ANTRANIKIAN,Alexandra,Mme,REC,Reconquête !
341,009-02,4,GARCIA,Enzo,M.,REG,Régionaliste
342,009-02,5,PANIFOUS,Laurent,M.,SOC,Parti socialiste
343,009-02,6,LAFFONT,Patrick,M.,DVG,Divers gauche
344,009-02,7,LARIVE,Michel,M.,FI,La France Insoumise
345,009-02,8,DE KERIMEL,Yann,M.,DXD,Divers extrême droite
346,009-02,9,DUTRENOIS,Rémi,M.,ENS,Ensemble ! (Majorité présidentielle)
347,009-02,10,AFONSO,Paul,M.,UDI,Union des Démocrates et des Indépendants
348,009-02,11,TESTARD,Théodora,Mme,DXG,Divers extrême gauche
349,010-01,1,FRAENKEL,Stéphanie,Mme,LR,Les Républicains
350,010-01,2,BESSON-MOREAU,Grégory,M.,ENS,Ensemble ! (Majorité présidentielle)
351,010-01,3,GUITTON,Jordan,M.,RN,Rassemblement National
352,010-01,4,GIACOMONI,Hervé,M.,REC,Reconquête !
353,010-01,5,CANAUD,Marie-Elisabeth,Mme,DIV,Divers
354,010-01,6,PIEPLU,Lydie,Mme,DVC,Divers centre
355,010-01,7,SPAGNESI,Laurent,M.,ECO,Ecologistes
356,010-01,8,PAILLARD,Lionel,M.,DXG,Divers extrême gauche
357,010-02,1,VALLÉE,Romain,M.,DXG,Divers extrême gauche
358,010-02,2,RIGLET,Sébastien,M.,DVC,Divers centre
359,010-02,3,PUFF,Isabelle,Mme,DSV,Droite souverainiste
360,010-02,4,HENRY,Evelyne,Mme,RN,Rassemblement National
361,010-02,5,BEAUFUMÉ,Sébastien,M.,ECO,Ecologistes
362,010-02,6,FONTAINE-GARCIA,Salomé,Mme,ENS,Ensemble ! (Majorité présidentielle)
363,010-02,7,FRAINCART,Sarah,Mme,FI,La France Insoumise
364,010-02,8,IGNATOVITCH,Etienne,M.,REC,Reconquête !
365,010-02,9,BAZIN-MALGRAS,Valérie,Mme,LR,Les Républicains
366,010-03,1,ANDRIEUX,Pascal,M.,DXG,Divers extrême gauche
367,010-03,2,FERNANDEZ,Laure,Mme,DSV,Droite souverainiste
368,010-03,3,SEFFALS,Gaëtan,M.,FI,La France Insoumise
369,010-03,4,HELICK,Lyonnel,M.,DSV,Droite souverainiste
370,010-03,5,MENISSIER,Dominique,M.,ECO,Ecologistes
371,010-03,6,BEURY,Loëtitia,Mme,ENS,Ensemble ! (Majorité présidentielle)
372,010-03,7,LOPES VAZ,Céline,Mme,REC,Reconquête !
373,010-03,8,GATOUILLAT,Baptiste,M.,LR,Les Républicains
374,010-03,9,FREVILLE,Didier,M.,DVC,Divers centre
375,010-03,10,RANC,Angélique,Mme,RN,Rassemblement National
376,010-03,11,COLLOT-TOUZÉ,Nelly,Mme,ECO,Ecologistes
377,011-01,1,ROULLIAUX,Axel,M.,REC,Reconquête !
378,011-01,2,AMALRIC,Laure-Nelly,Mme,ECO,Ecologistes
379,011-01,3,DANDEU,Patricia,Mme,ECO,Ecologistes
380,011-01,4,SIKORA,Juliette,Mme,DIV,Divers
381,011-01,5,BIASOLI,Gilbert,M.,DSV,Droite souverainiste
382,011-01,6,BARTHÈS,Christophe,M.,RN,Rassemblement National
383,011-01,7,GADRAT,Nicole,Mme,DXG,Divers extrême gauche
