dep,nom_dep,code_circo,00,prenom,nom,sexe,code_nuance,nuance,id,prenom,nom,sexe,sortante,circonscription,parti,checked,lien,twitter,
001,Ain,001-04,07,Philippe,LERDA,homme,FI,La France Insoumise,5654,Philippe,Lerda,homme,,001-04,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,,
001,Ain,001-04,08,Benoît,DE BOYSSON,homme,REC,Reconquête !,,,,,,,,,,,
001,Ain,001-04,09,Sacha,FORCA,homme,DVD,Divers droite,,,,,,,,,,,
001,Ain,001-04,10,Isabelle,SEGUIN,femme,ENS,Ensemble ! (Majorité présidentielle),8242,Isabelle,Séguin,femme,,001-04,LRM,,https://nos-candidats.avecvous.fr/wp-content/uploads/2022/05/Dossier-de-Presse.pdf,,
001,Ain,001-04,11,Annick,VEILLEROT,femme,DSV,Droite souverainiste,,,,,,,,,,,
001,Ain,001-04,12,Stéphane,TROMPILLE,homme,DVC,Divers centre,9243,Stéphane,Trompille,homme,checked,001-04,LRM,checked,https://www.leprogres.fr/elections/2022/05/13/dans-l-ain-le-depute-sortant-stephane-trompille-prive-de-l-investiture-de-la-majorite,,
001,Ain,001-05,01,Philippe,TOURNIER-BILLON,homme,REC,Reconquête !,8421,Philippe,Tournier-Billon,homme,,001-05,Reconquête,,https://www.leprogres.fr/elections/2022/05/13/legislatives-pas-d-adversaire-de-la-majorite-presidentielle-pour-abad,,
001,Ain,001-05,02,Grégory,FABRIS,homme,DSV,Droite souverainiste,,,,,,,,,,,
001,Ain,001-05,03,Celil,YILMAZ,homme,DIV,Divers,,,,,,,,,,,
001,Ain,001-05,04,Damien,ABAD,homme,DVD,Divers droite,8420,Damien,Abad,homme,checked,001-05,LR,,https://www.leprogres.fr/elections/2022/05/13/legislatives-pas-d-adversaire-de-la-majorite-presidentielle-pour-abad,https://twitter.com/damienabad,
001,Ain,001-05,05,Florence,PISANI,femme,FI,La France Insoumise,5655,Florence,Pisani,femme,,001-05,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,,
001,Ain,001-05,06,Stéphanie,PARIS,femme,DVD,Divers droite,,,,,,,,,,,
001,Ain,001-05,07,Joëlle,NAMBOTIN,femme,RN,Rassemblement National,7631,Joëlle,Nambotin Gobbi,femme,,001-05,RN,,https://rassemblementnational.fr/elections-legislatives/,,
001,Ain,001-05,08,Sylvie,CROZET,femme,DXG,Divers extrême gauche,8442,Sylvie,Crozet,femme,,001-05,LO,,https://www.lutte-ouvriere.org/legislatives,,
001,Ain,001-05,09,Jean-Michel,BOULMÉ,homme,DVG,Divers gauche,,,,,,,,,,,
001,Ain,001-05,10,Julien,MARTINEZ,homme,LR,Les Républicains,,,,,,,,,,,
002,Aisne,002-01,01,Aude,BONO-VANDORME,femme,ENS,Ensemble ! (Majorité présidentielle),5659,Aude,Bono-Vandorme,femme,checked,002-01,LRM,,https://www.contexte.com/medias/pdf/medias-documents/2022/5/investis_vague3-ddef82222c9a44b0b69d459d788e9dec.pdf,,
002,Aisne,002-01,02,Benjamin,CAUCHY,homme,REC,Reconquête !,5657,Benjamin,Cauchy,homme,,002-01,Reconquête,,https://twitter.com/BenjaminCauchy/status/1520008734621196294,,
002,Aisne,002-01,03,Jean-Loup,PERNELLE,homme,DXG,Divers extrême gauche,8443,Jean-Loup,Pernelle,homme,,002-01,LO,,https://www.lutte-ouvriere.org/legislatives,,
002,Aisne,002-01,04,Olivier,FENIOUX,homme,FI,La France Insoumise,5660,Olivier,Fenioux,homme,,002-01,LFI,,https://lafranceinsoumise.fr/2022/05/10/elections-legislatives-2022-la-france-insoumise-investit-ses-candidat-de-la-nouvelle-union-populaire-ecologique-et-sociale/,,
002,Aisne,002-01,05,Carole,RIBEIRO,femme,DVD,Divers droite,,,,,,,,,,,
002,Aisne,002-01,06,Michel,DEGOUY,homme,DSV,Droite souverainiste,,,,,,,,,,,
002,Aisne,002-01,07,Nicolas,DRAGON,homme,RN,Rassemblement National,7632,Nicolas,Dragon,homme,,002-01,RN,,https://rassemblementnational.fr/elections-legislatives/,,
002,Aisne,002-01,08,Paul,MOUGENOT,homme,LR,Les Républicains,5656,Paul,Mougenot,homme,,002-01,LR,,https://republicains.fr/actualites/2021/12/09/decision-de-la-commission-nationale-dinvestiture-3/,,
002,Aisne,002-02,01,Sulyvan,RANSQUIN,homme,FI,La France Insoumise,,,,,,,,,,,
002,Aisne,002-02,02,Julien,DIVE,homme,LR,Les Républicains,,,,,,,,,,,
